character,photo,skill_in_screenshot,csv_skill_name,status,mod_base_text,mod_condition_text,focus_state_label,notes,source_csv,csv_damage_multi,csv_dmg_con1,csv_dmg_max,csv_all_crit_dmg,csv_condition_1,csv_con_max_dmg,csv_consume_stains,csv_required_stains,csv_damage_element,csv_lune_mode,csv_dmmax,csv_condition,csv_stance,csv_cost,csv_element,csv_maelle_mode,calc_base_stanceless_multiplier,calc_base_stanceless_scenario,calc_focus_multiplier,calc_focus_scenario,cost_base_stanceless,cost_focus,csv_mask,csv_monoco_mode,calc_base_nomask_multiplier,calc_base_nomask_scenario,cost_base_nomask,csv_condmg,csv_twilightdmg,csv_contwilight,csv_foretell,csv_lunar,csv_attack_type,calc_base_0f_multiplier,calc_base_0f_scenario,calc_10f_multiplier,calc_10f_scenario,calc_10f_twilight_multiplier,calc_10f_twilight_scenario,csv_srankmax,csv_grade_bonus,csv_verso_mode,calc_base_d_multiplier,calc_base_d_scenario,cost_base_d
lune,photo_1_2026-03-04_14-38-40.jpg,Lightning Dance,Lightning Dance,match,360% Lightning damage over 6 hits. [0.2x],Crit adds hit; consume Earth+Fire+Ice => +400% damage.,,"Matches base (3.6), all-crit (7.2), consume (18), and consume+all-crit (36).",games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,3.6,18,36,7.2,Consume Earth + Fire + Ice,Consume Earth + Fire + Ice + all crits,Earth|Fire|Ice,,Lightning,consume_crit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_2_2026-03-04_14-38-40.jpg,Elemental Trick,Elemental Trick,match,120% Ice/Fire/Lightning/Earth over 4 hits. [0.4x],Crit grants corresponding stain.,,Direct/base skill handling matches.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,1.2,,,,,,,,Earth|Fire|Ice|Lightning,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_3_2026-03-04_14-38-40.jpg,Rockslide,Rock Slide,match_name_variant,250% Earth damage over 2 hits.,Can Stun; consume Fire+Ice+Lightning => +400% damage.,,"Name differs (Rockslide vs Rock Slide), values align (2.5 -> 12.5).",games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,2.5,12.5,,,Consume Fire + Ice + Lightning,,Fire|Ice|Lightning,,Earth,consume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_4_2026-03-04_14-38-40.jpg,Earth Rising,Earth Rising,match,120% Earth damage to all enemies. [1x],Consume Lightning => +50% damage.,,Matches 1.2 base and 1.8 consume.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,1.2,1.8,,,Consume Lightning,,Lightning,,Earth,consume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_5_2026-03-04_14-38-40.jpg,Rebirth,Rebirth,match,Revive ally with 30-70% HP and +2 AP.,Consume 3 Lightning => costs 0 AP.,,Utility skill (no direct damage) with AP-cost reduction modeled.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,,,,,,,Lightning|Lightning|Lightning,,,utility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_6_2026-03-04_14-38-40.jpg,Thunderfall,Thunderfall,match,60-180% Lightning over 2-6 hits. [0.2x],Crit adds hit; consume Fire => +50% damage.,,"Matches base 1.8, all-crit 3.6, consume 2.7, consume+all-crit 5.4.",games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,1.8,2.7,5.4,3.6,Consume Fire,Consume Fire + all crits,Fire,,Lightning,consume_crit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_7_2026-03-04_14-38-40.jpg,Ice Lance,Ice Lance,match,140% Ice damage. [1x],Applies Slow; consume Earth => +50% damage.,,Matches 1.4 base and 2.1 consume.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,1.4,2.1,,,Consume Earth,,Earth,,Ice,consume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_8_2026-03-04_14-38-40.jpg,Crippling Tsunami,Crippling Tsunami,match,250% Ice damage to all enemies. [1x],Applies Slow; consume Earth+Fire+Lightning => +400% damage.,,Matches 2.5 base and 12.5 consume.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,2.5,12.5,,,Consume Earth + Fire + Lightning,,Earth|Fire|Lightning,,Ice,consume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_9_2026-03-04_14-38-40.jpg,Immolation,Immolation,match,70% Fire damage. [1x],Applies Burn; marked target adds Burn; consume Ice => +50% damage.,,Matches 0.7 base and 1.05 consume.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,0.7,1.05,,,Consume Ice,,Ice,,Fire,consume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_10_2026-03-04_14-38-40.jpg,Crustal Crush,Crystal Crush,match_name_variant,450% Earth damage over 5 hits. [2x],Consume Lightning+Lightning => +200% damage.,,"Name differs (Crustal vs Crystal), values align (4.5 -> 13.5).",games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,4.5,13.5,,,Consume Lightning + Lightning,,Lightning|Lightning,,Earth,consume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
