Skill,Mask,Damage Multi,Condition 1,Dmg Con1,Con Max Dmg,Dmg Max,Notes,AOE,Cost,Game Description,Base Attack,Test AP,Attack Type,Target,Element,Wheel Steps,Base Scaling,Hit Count,Conditional Scaling,Monoco Mode
Abbest Wind,Agile,1,,,,,"Plays a second turn.
Agile mask: costs 0 AP",FALSE,2.0,,1628,1542,Skill,Single,Physical,2.0,1.0,1.0,1.0,cost_mask
Abberation Light,Agile,3,,,,,Applies 4 Burn per hit. Agile Mask: Applies 2 more Burn per hit.,TRUE,7.0,,1628,1542,Skill,AoE,Light,4.0,1.5,2.0,1.0,direct
Ballet Charm,Caster,0.8,Mask active,2.4,,,Applies Powerless to the target for 3 turns. Caster Mask: Increased damage.,FALSE,2.0,,1628,1542,Skill,Single,Light,3.0,0.8,1.0,3.0,mask
Benissuer Mortar,Caster,2.4,Mask active,7.2,,,Change to Almighty Mask if target is Marked. Caster Mask: Increased damage.,FALSE,5.0,,1628,1542,Skill,Single,Ice,6.0,0.8,3.0,3.0,mask
Bouchelier Fortify,Heavy,0,,,,,Applies Shell to 1-3 allies for 3 turns. Heavy Mask: Also applies 1 Shield.,TRUE,3.0,,1628,1542,Skill,Party,-,5.0,,0.0,,utility
Braseleur Smash,Balanced,1.8,Mask active,5.4,,,Applies 3 Burn. 2 hits. Balanced Mask: Increased damage.,FALSE,4.0,,1628,1542,Skill,Single,Fire,2.0,0.9,2.0,3.0,mask
Bruler Bash,Caster,2.4,Mask active,7.2,,,Can Break. Caster Mask: Increased damage.,FALSE,4.0,,1628,1542,Skill,Single,Physical,4.0,0.8,3.0,3.0,mask
Chalier Combo,Balanced,3.6,Mask active,10.8,,,Interrupted if failed. Balanced Mask: Increased damage.,FALSE,7.0,,1628,1542,Skill,Single,Physical,3.0,0.6,6.0,3.0,mask
Chapelier Slash,Agile,2.4,Mask active,7.2,,,Applies Mark. Agile Mask: Increased damage.,TRUE,7.0,,1628,1542,Skill,AoE,Physical,4.0,0.8,3.0,3.0,mask
Chevaliere Ice,Balanced,1.8,Mask active,5.4,,,Applies Slow to the targets for 3 turns. Balanced Mask: Increased damage.,TRUE,6.0,,1628,1542,Skill,AoE,Ice,2.0,0.6,3.0,3.0,mask
Chevaliere Piercing,Agile,1.8,Mask active,5.4,,,Does damage through Shields. Damage increased for each Shield on the target (+0.3 base per shiel). Agile Mask: Increased damage.,FALSE,3.0,,1628,1542,Skill,Single,Physical,3.0,0.3,6.0,3.0,mask
Chevaliere Thrusts,Heavy,1.8,Mask active,5.4,Mask active + all crits,8.1,Critical Hits deal x1.5 damage on top of the regular crit damage. Heavy Mask: Increased damage. Conditional assumes 100% crit rate.,TRUE,7.0,,1628,1542,Skill,AoE,Physical,3.0,0.6,3.0,4.5,mask_all_crits
Clair Enfeeble,Balanced,1.75,Mask active,5.25,,,Applies Powerless for 3 turns. Balanced Mask: Increased damage.,TRUE,5.0,,1628,1542,Skill,AoE,Light,3.0,1.75,1.0,3.0,mask
Contorsionniste Blast,Balanced,2.5,Mask active,7.5,,,Heals all allies by 10% Health for each enemy hit. Balanced Mask: Increased damage.,TRUE,6.0,,1628,1542,Skill,AoE,Physical,2.0,2.5,1.0,3.0,mask
Creation Void,Caster,6,Mask active,18,,,More damage if the same target is hit multiple times (+0.5 base per hit). Needs testing where the extra damage is added in the equation. Caster Mask: Increased damage.,FALSE,9.0,,1628,1542,Skill,Random,Void,4.0,2.0,3.0,3.0,mask
Cruler Barrier,Heavy,-,,,,,Applies 1-2 Shields to the target. Heavy Mask: Gives 2 AP to the target.,TRUE,4.0,,1628,1542,Skill,Party,-,4.0,,,,utility
Cultist Blood,Heavy,0.9,Mask active,2.7,Mask active + 90% HP donated,9.99,"Sacrifices 90% Health to increase damage. Heavy Mask: Increased damage.
Does more damage based on the amount of health donated (0.03 base per donated % of HP)",TRUE,3.0,,1628,1542,Skill,AoE,Dark,5.0,0.3,3.0,3.0,mask_full_life
Cultists Slashes,Agile,2.1,Mask active,6.3,Mask active + 1 HP,15.75,"Deals more damage the less Health Monoco has. Agile Mask: Increased damage.
Up to 2.5 mult",FALSE,3.0,,1628,1542,Skill,Single,Dark,5.0,0.7,3.0,3.0,mask_low_life
Danseuse Waltz,Balanced,3.9,Mask active,11.7,Mask active + burning target,17.55,Deals more damage against Burning targets (1.5 times). Balanced Mask: Increased damage (3 times),FALSE,8.0,,1628,1542,Skill,Single,Fire,3.0,1.3,3.0,4.5,mask_burning
Demineur Thunder,Caster,0.1,,,,,Deals extra Break damage (5 times more). Caster Mask: Increased Break damage (10 times more),FALSE,2.0,,1628,1542,Skill,Single,Lightning,5.0,0.1,1.0,1.0,direct
Duallist Storm,Almighty,6,Mask active,30,,,Can Break. Almighty Mask: Increased damage.,FALSE,,,1628,1542,Skill,Single,Physical,,1.5,4.0,5.0,mask
Echassier Stabs,Agile,3,Mask active,9,,,Second hit applies Mark to the target. Agile Mask: Increased damage.,FALSE,4.0,,1628,1542,Skill,Single,Physical,4.0,1.5,2.0,3.0,mask
Eveque Spear,Heavy,4,Mask active,12,,,Applies Powerless for 3 turns. Heavy Mask: Increased damage.,FALSE,6.0,,1628,1542,Skill,Single,Earth,3.0,4.0,1.0,3.0,mask
Gault Fury,Balanced,1.6,Mask active,4.8,,,Applies Mark. Balanced Mask: Increased damage.,FALSE,3.0,,1628,1542,Skill,Single,Physical,2.0,0.4,4.0,3.0,mask
Glaise Earthquakes,Heavy,9,,,,,Applies Powerful to self. Heavy Mask: Applies Powerful to all allies.,TRUE,4.0,,1628,1542,Skill,AoE,Earth,6.0,3.0,3.0,1.0,direct
Grosse Tete Whack,Heavy,3,Mask active,6,,,Applies Defenceless for 3 turns. Heavy Mask: Increased damage.,FALSE,6.0,,1628,1542,Skill,Single,Physical,4.0,0.6,5.0,2.0,mask
Hexga Crush,Heavy,2.4,,,,,Applies Defenceless to the target for 3 turns. Heavy Mask: Increases Defenceless duration to 5 turns.,FALSE,5.0,,1628,1542,Skill,Single,Earth,6.0,1.2,2.0,1.0,direct
Jar Lampstorm,Heavy,2,Mask active,6,,,Heavy Mask: Increased damage.,TRUE,5.0,,1628,1542,Skill,AoE,Physical,6.0,0.5,4.0,3.0,mask
Lancelier Impale,Agile,1.2,Mask active,3.6,,,Slows the target for 3 turns. Agile Mask: Increased damage.,FALSE,2.0,,1628,1542,Skill,Single,Ice,4.0,1.2,1.0,3.0,mask
Luster Slices,Agile,1.8,Mask active,5.4,,,Applies Rush to self for 3 turns. Agile Mask: Increased damage.,FALSE,3.0,,1628,1542,Skill,Single,Physical,3.0,0.6,3.0,3.0,mask
Moissonneuse Vendange,Balanced,3,Mask active,9,,,Can Break. Balanced Mask: Increased damage.,FALSE,5.0,,1628,1542,Skill,Single,Physical,2.0,1.0,3.0,3.0,mask
Obscur Sword,Heavy,3,Mask active,9,Mask active + powerless target,18,Deals more damage against Powerless targets (times 2). Heavy Mask: Increased damage (times 3),FALSE,6.0,,1628,1542,Skill,Single,Dark,3.0,0.6,5.0,6,mask_powerless
Orphelin Cheers,Caster,-,,,,,Applies Powerful to 1-3 allies. Caster Mask: Also gives 3 AP to targets.,TRUE,3.0,,1628,1542,Skill,Party,-,3.0,,0.0,,utility
Perelin Heal,Caster,-,,,,,Applies Regen to all allies. Caster Mask: Also Heals 40% Health.,TRUE,3.0,,1628,1542,Skill,Party,-,5.0,,0.0,,utility
Portier Crash,Heavy,5,Mask active,15,,,Can Break. Heavy Mask: Increased damage.,TRUE,8.0,,1628,1542,Skill,AoE,Physical,5.0,5.0,1.0,3.0,mask
Potier Energy,Caster,-,,,,,Gives 1-3 AP to all allies. Caster Mask: Gives 1 additional AP.,TRUE,,,1628,1542,Skill,Party,-,,,0.0,,utility
Ramasseur Bonk,Agile,0.8,,,,,Can Break. Agile Mask: Fills 20% of the target's Break Bar.,FALSE,2.0,,1628,1542,Skill,Single,Dark,4.0,0.8,1.0,1.0,direct
Rocher Hammering,Heavy,1.6,Mask active,4.8,,,Can Break. Heavy Mask: Increased damage.,FALSE,3.0,,1628,1542,Skill,Single,Physical,3.0,0.4,4.0,3.0,mask
Sakapate Estoc,Balanced,1.5,Mask active,4.5,,,"Deals more damage if the target is Stunned (unknown, x2?). Balanced Mask: Increased damage.",FALSE,3.0,,1628,1542,Skill,Single,Lightning,3.0,1.5,1.0,3.0,mask
Sakapate Explosion,Caster,1.5,Mask active,4.5,,,Critical Hits trigger an additional hit. Caster Mask: Increased damage.,FALSE,4.0,,1628,1542,Skill,Random,Lightning,6.0,0.5,3.0,3.0,mask
Sakapate Fire,Almighty,4.5,Mask active,22.5,,,Apply 3 Burn per hit. Almighty Mask: Increased damage (times 5 instead of the usual 3),TRUE,9.0,,1628,1542,Skill,AoE,Fire,1.0,1.5,3.0,5.0,mask
